Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,PF,21,MIA,58,3,11.9,1.9,3.6,.538,0.0,0.0,,1.9,3.6,.538,.538,0.9,1.8,.515,1.2,2.2,3.4,0.5,0.3,0.5,0.7,1.5,4.8
2,Jaylen Adams\adamsja01,PG,24,MIL,7,0,2.6,0.1,1.1,.125,0.0,0.3,.000,0.1,0.9,.167,.125,0.0,0.0,,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.1,0.3
3,Steven Adams\adamsst01,C,27,NOP,58,58,27.7,3.3,5.3,.614,0.0,0.1,.000,3.3,5.3,.620,.614,1.0,2.3,.444,3.7,5.2,8.9,1.9,0.9,0.7,1.3,1.9,7.6
4,Bam Adebayo\adebaba01,C,23,MIA,59,59,33.5,7.2,12.7,.567,0.0,0.1,.250,7.2,12.5,.570,.568,4.5,5.7,.797,2.3,6.8,9.1,5.4,1.2,1.0,2.7,2.2,18.9
5,LaMarcus Aldridge\aldrila01,C,35,TOT,26,23,25.9,5.4,11.4,.473,1.2,3.1,.388,4.2,8.3,.505,.525,1.6,1.8,.872,0.7,3.8,4.5,1.9,0.4,1.1,1.0,1.8,13.5
6,Ty-Shon Alexander\alexaty01,SG,22,PHO,13,0,3.2,0.2,0.8,.182,0.1,0.6,.125,0.1,0.2,.333,.227,0.1,0.2,.500,0.1,0.4,0.5,0.3,0.0,0.1,0.2,0.2,0.5
7,Nickeil Alexander-Walker\alexani01,SG,22,NOP,41,10,20.8,3.9,9.2,.418,1.6,4.6,.348,2.3,4.7,.487,.504,1.0,1.3,.750,0.2,2.8,3.1,2.0,1.0,0.5,1.4,1.9,10.2
8,Grayson Allen\allengr01,SG,25,MEM,50,38,25.2,3.5,8.3,.418,2.1,5.5,.391,1.3,2.8,.471,.547,1.6,1.8,.868,0.4,2.8,3.2,2.2,0.9,0.2,1.0,1.4,10.6
9,Jarrett Allen\allenja01,C,22,TOT,57,39,29.4,4.9,7.7,.636,0.1,0.3,.333,4.8,7.4,.647,.642,3.3,4.6,.709,3.1,6.9,10.0,1.7,0.5,1.5,1.6,1.6,13.1
10,Al-Farouq Aminu\aminual01,PF,30,TOT,23,14,18.9,1.7,4.3,.384,0.3,1.6,.216,1.3,2.7,.484,.424,0.8,1.0,.818,1.0,3.8,4.8,1.3,0.8,0.4,1.2,1.3,4.4
11,Kyle Anderson\anderky01,PF,27,MEM,64,64,27.2,4.5,9.6,.463,1.4,3.8,.355,3.1,5.8,.534,.533,2.0,2.6,.780,0.8,5.0,5.8,3.5,1.3,0.8,1.2,1.7,12.3
12,Giannis Antetokounmpo\antetgi01,PF,26,MIL,56,56,33.1,10.3,18.3,.562,1.2,3.7,.311,9.1,14.6,.626,.594,6.7,9.7,.688,1.6,9.4,11.1,5.9,1.2,1.3,3.6,2.8,28.4
13,Kostas Antetokounmpo\antetko01,PF,23,LAL,15,0,3.7,0.2,0.7,.300,0.0,0.0,,0.2,0.7,.300,.300,0.4,0.9,.462,0.3,1.0,1.3,0.1,0.1,0.3,0.7,0.5,0.8
14,Thanasis Antetokounmpo\antetth01,SF,28,MIL,53,2,9.9,1.3,2.5,.508,0.1,0.5,.259,1.1,2.0,.571,.534,0.4,0.8,.489,1.0,1.3,2.3,0.8,0.4,0.2,0.8,1.4,3.1
15,Carmelo Anthony\anthoca01,PF,36,POR,65,3,24.6,4.8,11.4,.423,1.9,4.7,.406,2.9,6.7,.436,.507,2.0,2.3,.887,0.5,2.7,3.2,1.5,0.7,0.6,0.9,2.1,13.7
